Товар	Месяц	Сумма
Товар 1	Июль	8010
Товар 1	Август	10680
Товар 1	Сентябрь	10680
Товар 1	Октябрь	16020
Товар 1	Ноябрь	22250
Товар 1	Декабрь	17800
Товар 2	Июль	7500
Товар 2	Август	8200
Товар 2	Сентябрь	7700
Товар 2	Октябрь	7600
Товар 2	Ноябрь	7400
Товар 2	Декабрь	8450
Товар 3	Июль	7750
Товар 3	Август	6882
Товар 3	Сентябрь	7905
Товар 3	Октябрь	8866
Товар 3	Ноябрь	8122
Товар 3	Декабрь	8928
Товар 4	Июль	36000
Товар 4	Август	38610
Товар 4	Сентябрь	34830
Товар 4	Октябрь	33840
Товар 4	Ноябрь	35640
Товар 4	Декабрь	34245
Товар 5	Июль	2100
Товар 5	Август	1932
Товар 5	Сентябрь	2142
Товар 5	Октябрь	2121
Товар 5	Ноябрь	2730
Товар 5	Декабрь	2310
Товар 6	Июль	0
Товар 6	Август	15232
Товар 6	Сентябрь	14952
Товар 6	Октябрь	18144
Товар 6	Ноябрь	14672
Товар 6	Декабрь	15176
Товар 7	Июль	46500
Товар 7	Август	43431
Товар 7	Сентябрь	53351
Товар 7	Октябрь	40920
Товар 7	Ноябрь	52452
Товар 7	Декабрь	49724
Товар 8	Июль	0
Товар 8	Август	7344
Товар 8	Сентябрь	7209
Товар 8	Октябрь	8748
Товар 8	Ноябрь	7074
Товар 8	Декабрь	7344
Товар 9	Июль	60000
Товар 9	Август	68250
Товар 9	Сентябрь	71295
Товар 9	Октябрь	70560
Товар 9	Ноябрь	66510
Товар 9	Декабрь	71490
Товар 10	Июль	4800
Товар 10	Август	2880
Товар 10	Сентябрь	2160
Товар 10	Октябрь	3360
Товар 10	Ноябрь	3600
Товар 10	Декабрь	3840
