Артикул	Период	Значение
1	01.01.2021	597
1	01.02.2021	632
1	01.03.2021	663
1	01.04.2021	691
1	01.05.2021	603
1	01.06.2021	620
1	01.07.2021	542
1	01.08.2021	453
1	01.09.2021	261
1	01.10.2021	374
1	01.11.2021	517
1	01.12.2021	250
1	01.01.2022	628
1	01.02.2022	573
1	01.03.2022	932
1	01.04.2022	773
1	01.05.2022	810
1	01.06.2022	475
1	01.07.2022	287
1	01.08.2022	423
1	01.09.2022	489
1	01.10.2022	285
1	01.11.2022	441
1	01.12.2022	517
1	01.01.2023	495
1	01.02.2023	741
1	01.03.2023	793
1	01.04.2023	532
1	01.05.2023	668
1	01.06.2023	509
1	01.07.2023	403
1	01.08.2023	251
1	01.09.2023	257
1	01.10.2023	150
1	01.11.2023	315
1	01.12.2023	489
2	01.01.2021	577
2	01.02.2021	614
2	01.03.2021	789
2	01.04.2021	770
2	01.05.2021	702
2	01.06.2021	687
2	01.07.2021	485
2	01.08.2021	242
2	01.09.2021	368
2	01.10.2021	221
2	01.11.2021	402
2	01.12.2021	513
2	01.01.2022	542
2	01.02.2022	469
2	01.03.2022	762
2	01.04.2022	486
2	01.05.2022	832
2	01.06.2022	628
2	01.07.2022	424
2	01.08.2022	432
2	01.09.2022	220
2	01.10.2022	441
2	01.11.2022	421
2	01.12.2022	484
2	01.01.2023	470
2	01.02.2023	632
2	01.03.2023	673
2	01.04.2023	513
2	01.05.2023	523
2	01.06.2023	514
2	01.07.2023	466
2	01.08.2023	421
2	01.09.2023	424
2	01.10.2023	265
2	01.11.2023	295
2	01.12.2023	615
3	01.01.2021	520
3	01.02.2021	545
3	01.03.2021	703
3	01.04.2021	628
3	01.05.2021	841
3	01.06.2021	605
3	01.07.2021	674
3	01.08.2021	218
3	01.09.2021	488
3	01.10.2021	276
3	01.11.2021	169
3	01.12.2021	508
3	01.01.2022	483
3	01.02.2022	627
3	01.03.2022	678
3	01.04.2022	629
3	01.05.2022	525
3	01.06.2022	633
3	01.07.2022	444
3	01.08.2022	337
3	01.09.2022	338
3	01.10.2022	331
3	01.11.2022	378
3	01.12.2022	650
3	01.01.2023	613
3	01.02.2023	717
3	01.03.2023	707
3	01.04.2023	837
3	01.05.2023	645
3	01.06.2023	389
3	01.07.2023	363
3	01.08.2023	395
3	01.09.2023	275
3	01.10.2023	303
3	01.11.2023	234
3	01.12.2023	435
